Continent,Density (per km²),2022 Population
Africa,126.40656909090909,25455879.67857143
Asia,1025.024136,96327387.30612245
Europe,663.324742,15055371.81632653
North America,272.49411842105263,15007403.4
Oceania,132.5430652173913,2046386.3181818181
South America,20.971978571428572,31201186.285714287
